(['7', '5', '2', '8', '9'], 740)[0, 0, 0, 0, 0, 0, 9]
(['7', '8', '5', '9', '4'], 638)[0, 0, 0, 0, 0, 0, 9]
(['8', '7', '9', '6', '5'], 791)[0, 0, 0, 0, 0, 0, 9]
(['8', '9', '3', '6', '7'], 736)[0, 0, 0, 0, 0, 0, 9]
(['9', '6', '8', '4', '2'], 829)[0, 0, 0, 0, 0, 0, 9]
(['9', '7', '5', '4', '3'], 325)[0, 0, 0, 0, 0, 0, 9]
(['4', 'T', '2', '6', '3'], 750)[0, 0, 0, 0, 0, 0, 10]
(['5', '3', '9', 'T', '8'], 827)[0, 0, 0, 0, 0, 0, 10]
(['6', '9', '2', '3', 'T'], 796)[0, 0, 0, 0, 0, 0, 10]
(['8', '2', '3', '4', 'T'], 938)[0, 0, 0, 0, 0, 0, 10]
(['8', '7', 'T', '6', '3'], 297)[0, 0, 0, 0, 0, 0, 10]
(['8', 'T', '2', '6', '7'], 624)[0, 0, 0, 0, 0, 0, 10]
(['9', '3', '6', 'T', '8'], 571)[0, 0, 0, 0, 0, 0, 10]
(['9', 'T', '5', '4', '8'], 843)[0, 0, 0, 0, 0, 0, 10]
(['3', '9', '7', '5', 'J'], 632)[0, 0, 0, 0, 0, 0, 11]
(['3', 'T', '4', '9', 'J'], 214)[0, 0, 0, 0, 0, 0, 11]
(['3', 'T', 'J', '6', '9'], 317)[0, 0, 0, 0, 0, 0, 11]
(['3', 'J', '2', '6', '9'], 635)[0, 0, 0, 0, 0, 0, 11]
(['3', 'J', '9', '7', '4'], 364)[0, 0, 0, 0, 0, 0, 11]
(['3', 'J', '9', '7', 'T'], 306)[0, 0, 0, 0, 0, 0, 11]
(['4', '2', 'J', '3', 'T'], 920)[0, 0, 0, 0, 0, 0, 11]
(['4', '5', '9', 'J', '6'], 993)[0, 0, 0, 0, 0, 0, 11]
(['4', 'T', 'J', '5', '3'], 458)[0, 0, 0, 0, 0, 0, 11]
(['5', '3', '9', 'J', '4'], 542)[0, 0, 0, 0, 0, 0, 11]
(['5', '7', '3', 'J', '2'], 478)[0, 0, 0, 0, 0, 0, 11]
(['5', '9', '2', '8', 'J'], 996)[0, 0, 0, 0, 0, 0, 11]
(['5', '9', '7', 'J', '6'], 46)[0, 0, 0, 0, 0, 0, 11]
(['6', '4', 'J', '9', '8'], 622)[0, 0, 0, 0, 0, 0, 11]
(['6', '8', 'J', '4', '2'], 314)[0, 0, 0, 0, 0, 0, 11]
(['7', '5', 'J', 'T', '8'], 870)[0, 0, 0, 0, 0, 0, 11]
(['7', 'T', 'J', '4', '8'], 562)[0, 0, 0, 0, 0, 0, 11]
(['8', '9', '5', 'J', '3'], 232)[0, 0, 0, 0, 0, 0, 11]
(['9', '6', 'J', '4', '2'], 633)[0, 0, 0, 0, 0, 0, 11]
(['T', '3', 'J', '7', '2'], 893)[0, 0, 0, 0, 0, 0, 11]
(['T', '8', '6', 'J', '9'], 854)[0, 0, 0, 0, 0, 0, 11]
(['J', '2', '6', 'T', '3'], 661)[0, 0, 0, 0, 0, 0, 11]
(['J', '3', '8', '2', '9'], 101)[0, 0, 0, 0, 0, 0, 11]
(['J', '3', 'T', '8', '5'], 52)[0, 0, 0, 0, 0, 0, 11]
(['J', '5', '8', 'T', '4'], 616)[0, 0, 0, 0, 0, 0, 11]
(['J', '9', '5', 'T', '4'], 425)[0, 0, 0, 0, 0, 0, 11]
(['2', '7', 'Q', 'T', 'J'], 881)[0, 0, 0, 0, 0, 0, 12]
(['3', '8', '2', 'Q', '7'], 764)[0, 0, 0, 0, 0, 0, 12]
(['4', '5', 'Q', '6', '7'], 967)[0, 0, 0, 0, 0, 0, 12]
(['4', '5', 'Q', '7', '2'], 643)[0, 0, 0, 0, 0, 0, 12]
(['4', '6', '5', '2', 'Q'], 656)[0, 0, 0, 0, 0, 0, 12]
(['4', 'J', '6', 'Q', '5'], 983)[0, 0, 0, 0, 0, 0, 12]
(['4', 'Q', '3', '6', '7'], 874)[0, 0, 0, 0, 0, 0, 12]
(['5', '8', '4', '6', 'Q'], 753)[0, 0, 0, 0, 0, 0, 12]
(['5', 'T', 'Q', '7', '6'], 343)[0, 0, 0, 0, 0, 0, 12]
(['6', '8', '5', '9', 'Q'], 312)[0, 0, 0, 0, 0, 0, 12]
(['6', 'J', '8', '3', 'Q'], 612)[0, 0, 0, 0, 0, 0, 12]
(['7', '5', '9', 'T', 'Q'], 673)[0, 0, 0, 0, 0, 0, 12]
(['7', 'T', '5', 'Q', '4'], 900)[0, 0, 0, 0, 0, 0, 12]
(['7', 'Q', 'T', '9', '2'], 994)[0, 0, 0, 0, 0, 0, 12]
(['8', '3', 'J', 'Q', '7'], 597)[0, 0, 0, 0, 0, 0, 12]
(['8', 'Q', '7', 'T', '5'], 939)[0, 0, 0, 0, 0, 0, 12]
(['9', '4', 'J', '3', 'Q'], 242)[0, 0, 0, 0, 0, 0, 12]
(['9', '5', 'T', 'J', 'Q'], 218)[0, 0, 0, 0, 0, 0, 12]
(['9', 'Q', 'J', '3', '2'], 9)[0, 0, 0, 0, 0, 0, 12]
(['T', 'Q', '4', '2', '8'], 485)[0, 0, 0, 0, 0, 0, 12]
(['J', '8', '2', '3', 'Q'], 961)[0, 0, 0, 0, 0, 0, 12]
(['J', 'Q', '6', '9', '4'], 209)[0, 0, 0, 0, 0, 0, 12]
(['Q', '3', '8', '5', '9'], 252)[0, 0, 0, 0, 0, 0, 12]
(['Q', '4', '3', 'T', '2'], 383)[0, 0, 0, 0, 0, 0, 12]
(['Q', '5', '2', 'J', '9'], 899)[0, 0, 0, 0, 0, 0, 12]
(['Q', 'J', '6', '4', 'T'], 544)[0, 0, 0, 0, 0, 0, 12]
(['2', '3', 'J', 'K', 'T'], 962)[0, 0, 0, 0, 0, 0, 13]
(['2', '6', 'T', 'K', '5'], 783)[0, 0, 0, 0, 0, 0, 13]
(['2', 'J', 'K', '4', 'Q'], 987)[0, 0, 0, 0, 0, 0, 13]
(['2', 'K', 'J', '8', '6'], 728)[0, 0, 0, 0, 0, 0, 13]
(['4', '2', 'K', 'T', '5'], 229)[0, 0, 0, 0, 0, 0, 13]
(['4', '3', 'K', '6', '7'], 318)[0, 0, 0, 0, 0, 0, 13]
(['4', '3', 'K', 'T', '7'], 42)[0, 0, 0, 0, 0, 0, 13]
(['4', '3', 'K', 'Q', '6'], 443)[0, 0, 0, 0, 0, 0, 13]
(['4', 'J', '5', 'K', '9'], 792)[0, 0, 0, 0, 0, 0, 13]
(['4', 'K', '9', '5', 'Q'], 482)[0, 0, 0, 0, 0, 0, 13]
(['5', '6', '9', 'K', '8'], 971)[0, 0, 0, 0, 0, 0, 13]
(['5', 'Q', '2', 'K', '3'], 666)[0, 0, 0, 0, 0, 0, 13]
(['5', 'Q', '2', 'K', '7'], 121)[0, 0, 0, 0, 0, 0, 13]
(['6', 'T', 'K', '9', '5'], 839)[0, 0, 0, 0, 0, 0, 13]
(['6', 'J', 'T', '7', 'K'], 54)[0, 0, 0, 0, 0, 0, 13]
(['7', '2', 'K', '8', '6'], 114)[0, 0, 0, 0, 0, 0, 13]
(['7', '9', 'K', '4', '8'], 339)[0, 0, 0, 0, 0, 0, 13]
(['7', 'J', '6', '4', 'K'], 946)[0, 0, 0, 0, 0, 0, 13]
(['7', 'Q', '3', '9', 'K'], 601)[0, 0, 0, 0, 0, 0, 13]
(['7', 'K', 'Q', '6', '4'], 420)[0, 0, 0, 0, 0, 0, 13]
(['8', 'K', '6', '5', '3'], 2)[0, 0, 0, 0, 0, 0, 13]
(['8', 'K', '9', '3', 'Q'], 968)[0, 0, 0, 0, 0, 0, 13]
(['9', '7', '5', 'J', 'K'], 502)[0, 0, 0, 0, 0, 0, 13]
(['9', 'T', 'J', 'K', '5'], 465)[0, 0, 0, 0, 0, 0, 13]
(['9', 'K', 'Q', '5', '2'], 321)[0, 0, 0, 0, 0, 0, 13]
(['T', '2', '4', 'Q', 'K'], 700)[0, 0, 0, 0, 0, 0, 13]
(['T', '6', 'K', '8', 'Q'], 591)[0, 0, 0, 0, 0, 0, 13]
(['T', 'K', '2', '3', '6'], 524)[0, 0, 0, 0, 0, 0, 13]
(['T', 'K', '9', '8', '3'], 283)[0, 0, 0, 0, 0, 0, 13]
(['J', '6', '2', 'Q', 'K'], 341)[0, 0, 0, 0, 0, 0, 13]
(['J', '6', 'K', '4', '5'], 26)[0, 0, 0, 0, 0, 0, 13]
(['J', 'K', '2', '8', '4'], 845)[0, 0, 0, 0, 0, 0, 13]
(['Q', '2', 'J', 'T', 'K'], 886)[0, 0, 0, 0, 0, 0, 13]
(['Q', '7', 'J', 'K', 'T'], 768)[0, 0, 0, 0, 0, 0, 13]
(['Q', '9', 'J', '6', 'K'], 654)[0, 0, 0, 0, 0, 0, 13]
(['Q', 'T', '4', 'K', '6'], 454)[0, 0, 0, 0, 0, 0, 13]
(['Q', 'K', '4', 'J', '5'], 396)[0, 0, 0, 0, 0, 0, 13]
(['K', '2', '8', '3', '4'], 869)[0, 0, 0, 0, 0, 0, 13]
(['K', '5', '2', '4', 'Q'], 109)[0, 0, 0, 0, 0, 0, 13]
(['K', '5', '9', '2', '4'], 762)[0, 0, 0, 0, 0, 0, 13]
(['K', '6', '2', '9', '3'], 223)[0, 0, 0, 0, 0, 0, 13]
(['K', '6', '4', '2', 'J'], 88)[0, 0, 0, 0, 0, 0, 13]
(['K', '7', '4', 'Q', '9'], 126)[0, 0, 0, 0, 0, 0, 13]
(['K', 'T', '7', '4', 'Q'], 576)[0, 0, 0, 0, 0, 0, 13]
(['K', 'T', '9', '3', 'Q'], 85)[0, 0, 0, 0, 0, 0, 13]
(['K', 'J', '5', 'T', '3'], 778)[0, 0, 0, 0, 0, 0, 13]
(['K', 'J', '6', '9', '8'], 311)[0, 0, 0, 0, 0, 0, 13]
(['K', 'J', 'T', '4', '5'], 594)[0, 0, 0, 0, 0, 0, 13]
(['2', '6', 'A', '7', 'J'], 991)[0, 0, 0, 0, 0, 0, 14]
(['2', 'T', '4', '5', 'A'], 545)[0, 0, 0, 0, 0, 0, 14]
(['3', '2', 'Q', 'A', 'T'], 337)[0, 0, 0, 0, 0, 0, 14]
(['3', '2', 'A', '4', 'K'], 457)[0, 0, 0, 0, 0, 0, 14]
(['3', '4', 'A', '8', '7'], 830)[0, 0, 0, 0, 0, 0, 14]
(['3', '6', 'A', '8', '5'], 99)[0, 0, 0, 0, 0, 0, 14]
(['3', 'K', '5', 'A', '8'], 194)[0, 0, 0, 0, 0, 0, 14]
(['3', 'A', '8', '4', 'T'], 475)[0, 0, 0, 0, 0, 0, 14]
(['3', 'A', '9', '8', '2'], 687)[0, 0, 0, 0, 0, 0, 14]
(['4', '5', 'K', '7', 'A'], 789)[0, 0, 0, 0, 0, 0, 14]
(['4', '7', 'A', '5', '6'], 38)[0, 0, 0, 0, 0, 0, 14]
(['4', 'A', '6', 'K', '9'], 265)[0, 0, 0, 0, 0, 0, 14]
